,date,confirmed_United Kingdom,Open_United Kingdom_FTSE 100,Close_United Kingdom_FTSE 100,rate_United Kingdom,confirmed_Germany,Open_Germany_DAX,Close_Germany_DAX,rate_Germany,confirmed_France,Open_France_CAC 40,Close_France_CAC 40,rate_France,confirmed_Italy,Open_Italy_FTSE MIB,Close_Italy_FTSE MIB,rate_Italy,confirmed_Spain,Open_Spain_IBEX 35,Close_Spain_IBEX 35,rate_Spain,confirmed_Russia,Open_Russia_MOEX,Close_Russia_MOEX,rate_Russia,confirmed_Netherlands,Open_Netherlands_AEX ,Close_Netherlands_AEX ,rate_Netherlands,confirmed_Sweden,Open_Sweden_OMXS 30,Close_Sweden_OMXS 30,rate_Sweden,confirmed_India,Open_India_SENSEX,Close_India_SENSEX,rate_India,confirmed_Austria,Open_Austria_ATX ,Close_Austria_ATX ,rate_Austria,confirmed_Finland,Open_Finland_OMX Helsinki 25,Close_Finland_OMX Helsinki 25,rate_Finland,confirmed_Ireland,Open_Ireland_ISEQ,Close_Ireland_ISEQ,rate_Ireland,confirmed_US_x,Open_US_Dow Jones,Close_US_Dow Jones,rate_US,confirmed_US_y,Open_US_S&P 500,Close_US_S&P 500,rate_US,confirmed_Lithuania,Open_Lithuania_OMX Vilnius,Close_Lithuania_OMX Vilnius,rate_Lithuania,confirmed_Canada,Open_Canada_TSX,Close_Canada_TSX,rate_Canada,confirmed_Brazil,Open_Brazil_iBovespa,Close_Brazil_iBovespa,rate_Brazil,confirmed_Mexico,Open_Mexico_IPC Mexico,Close_Mexico_IPC Mexico,rate_Mexico,confirmed_Argentina,Open_Argentina_Merval,Close_Argentina_Merval,rate_Argentina,confirmed_Japan,Open_Japan_NIKKEI 225,Close_Japan_NIKKEI 225,rate_Japan,confirmed_China,Open_China_SHANGHAI,Close_China_SHANGHAI,rate_China,"confirmed_Korea, South","Open_Korea, South_KOSPI","Close_Korea, South_KOSPI","rate_Korea, South",confirmed_Indonesia,Open_Indonesia_JCI,Close_Indonesia_JCI,rate_Indonesia,confirmed_Australia_x,Open_Australia_ASX 50,Close_Australia_ASX 50,rate_Australia,confirmed_Australia_y,Open_Australia_ASX 200,Close_Australia_ASX 200,rate_Australia,confirmed_Australia,Open_Australia_Australian All,Close_Australia_Australian All,rate_Australia
10,2020-02-01,2,,,0.75,8,,,0.0,6,,,0.0,2,,,0.0,1,,,0.0,2,,,6.25,0,,,0.0,1,,,0.0,1,,,5.15,0,,,0.0,1,,,0.0,0,,,0.0,8,,,1.75,8,,,1.75,0,,,0.0,4,,,1.75,0,,,4.5,0,,,7.25,0,,,50.0,20,,,-0.1,11891,,,4.15,12,,,1.25,0,,,6.5,12,,,0.75,12,,,0.75,12,,,0.75
11,2020-02-02,2,,,0.75,10,,,0.0,6,,,0.0,2,,,0.0,1,,,0.0,2,,,6.25,0,,,0.0,1,,,0.0,2,,,5.15,0,,,0.0,1,,,0.0,0,,,0.0,8,,,1.75,8,,,1.75,0,,,0.0,4,,,1.75,0,,,4.5,0,,,7.25,0,,,50.0,20,,,-0.1,16630,,,4.15,15,,,1.25,0,,,6.5,12,,,0.75,12,,,0.75,12,,,0.75
12,2020-02-03,8,7286.0,7326.299805,0.75,12,27.23,27.385,0.0,6,5822.040039,5832.509765999999,0.0,2,23297.0,23460.0,0.0,1,9404.400391,9404.700195,0.0,2,3062.27002,3070.840088,6.25,0,591.429993,592.3599849999999,0.0,1,1784.069946,1782.910034,0.0,3,39701.019531,39872.308594,5.15,0,3074.02002,3056.6298829999996,0.0,1,4294.169922,4294.100098,0.0,0,7011.569823999999,7097.509765999999,0.0,11,28319.650391000003,28399.810547000005,1.75,11,3235.659912,3248.919922,1.75,0,734.700012,735.789978,0.0,4,17351.0,17379.800781,1.75,0,113761.0,114629.0,4.5,0,,,7.25,0,40105.039063,41577.058594,50.0,20,22874.269531,22971.939453,-0.1,19716,2716.697998,2746.605957,4.15,15,2086.610107,2118.8798829999996,1.25,0,5920.967772999999,5884.169922,6.5,12,6975.700195,6889.399901999999,0.75,12,7017.200195,6923.299805,0.75,12,7121.200195,7019.899901999999,0.75
13,2020-02-04,8,7326.299805,7439.799805,0.75,12,27.860001,27.82,0.0,6,5863.359863000001,5935.049805,0.0,2,23573.0,23845.0,0.0,1,9465.900391,9562.900391,0.0,2,3082.199951,3097.600098,6.25,0,596.26001,605.400024,0.0,1,1785.410034,1821.040039,0.0,3,40178.738281,40789.378906,5.15,0,3058.72998,3083.669922,0.0,1,4295.220215,4359.759765999999,0.0,0,7100.850098000001,7134.419922,0.0,11,28696.740233999997,28807.630858999997,1.75,11,3280.610107,3297.590088,1.75,0,736.119995,735.130005,0.0,4,17504.599609,17512.699219,1.75,0,114631.0,115557.0,4.5,0,44330.96875,45047.070313,7.25,0,41577.058594,41033.789063,48.0,22,22881.130859,23084.589844,-0.1,23707,2685.269043,2783.288086,4.15,16,2121.219971,2157.899902,1.25,0,5947.506836,5922.338867,6.5,13,6889.399901999999,6910.0,0.75,13,6923.299805,6948.700195,0.75,13,7019.899901999999,7047.600098000001,0.75
14,2020-02-05,9,7439.799805,7482.5,0.75,12,28.120001000000002,28.17,0.0,6,5919.060059,5985.399902,0.0,2,23816.0,24237.0,0.0,1,9553.400391,9717.799805,0.0,2,3105.52002,3114.25,6.25,0,604.27002,613.409973,0.0,1,1820.5999760000002,1847.3499760000002,0.0,3,40921.710938,41142.660156,5.15,0,3083.669922,3124.469971,0.0,1,4359.430176,4440.140136999999,0.0,0,7126.310059,7199.290039,0.0,11,29048.730469,29290.849608999997,1.75,11,3324.909912,3334.689941,1.75,0,736.210022,735.659973,0.0,5,17629.400391,17651.599609,1.75,0,115563.0,116028.0,4.25,0,45252.609375,44782.859375,7.25,0,41033.789063,40767.101563,60.51,23,23351.470703,23319.560547,-0.1,27440,2792.371094,2818.087891,4.15,19,2177.26001,2165.6298829999996,1.25,0,5955.519043,5978.509765999999,6.5,13,6924.100098000001,6924.100098000001,0.75,13,6988.600098000001,6976.100098000001,0.75,13,7086.299805,7080.899901999999,0.75
15,2020-02-06,9,7482.5,7504.799805,0.75,12,28.389999,28.242001000000002,0.0,6,6045.040039,6038.180176,0.0,2,24348.0,24490.0,0.0,1,9767.099609,9811.299805,0.0,2,3132.840088,3096.679932,6.25,0,617.289978,618.75,0.0,1,1847.640015,1851.949951,0.0,3,41209.128906,41306.03125,5.15,0,3125.52002,3142.590088,0.0,1,4456.640136999999,4485.859863000001,0.0,0,7209.319823999999,7187.169922,0.0,12,29388.580077999995,29379.769531,1.75,12,3344.919922,3345.780029,1.75,0,736.909973,738.969971,0.0,5,17686.099609,17757.5,1.75,0,116033.0,115190.0,4.25,0,44870.058594,44493.148438,7.25,0,40767.101563,40906.089844,60.51,23,23641.099609,23873.589844,-0.1,30587,2826.889893,2866.51001,4.15,23,2184.77002,2227.939941,1.25,0,6002.919922,5987.14502,6.5,14,7000.799805,6996.600098000001,0.75,14,6987.899901999999,7049.200195,0.75,14,7148.700195,7146.5,0.75
16,2020-02-07,9,7504.799805,7466.700195,0.75,13,28.040001,27.950001,0.0,6,6027.540039,6029.75,0.0,3,24465.0,24478.0,0.0,1,9789.299805,9811.0,0.0,2,3101.080078,3087.6298829999996,6.0,0,616.75,616.460022,0.0,1,1851.060059,1849.859985,0.0,3,41394.410156,41141.851563,5.15,0,3143.209961,3146.909912,0.0,1,4484.149902,4525.720215,0.0,0,7189.149901999999,7151.470215,0.0,12,29286.919922000005,29102.509766000003,1.75,12,3335.540039,3327.709961,1.75,0,739.580017,742.530029,0.0,7,17705.400391,17655.5,1.75,0,115190.0,113770.0,4.25,0,44407.160156,44399.328125,7.25,0,40906.089844,41213.890625,60.51,23,23899.009766,23827.980469,-0.1,34110,2858.929932,2875.959961,4.15,24,2221.48999,2211.949951,1.25,0,5988.058105,5999.606934,6.5,15,7000.799805,6972.799805,0.75,15,7045.200195,7022.600098000001,0.75,15,7148.700195,7121.399901999999,0.75
17,2020-02-08,13,,,0.75,13,,,0.0,11,,,0.0,3,,,0.0,1,,,0.0,2,,,6.0,0,,,0.0,1,,,0.0,3,,,5.15,0,,,0.0,1,,,0.0,0,,,0.0,12,,,1.75,12,,,1.75,0,,,0.0,7,,,1.75,0,,,4.25,0,,,7.25,0,,,60.51,24,,,-0.1,36814,,,4.15,24,,,1.25,0,,,6.5,15,,,0.75,15,,,0.75,15,,,0.75
18,2020-02-09,14,,,0.75,14,,,0.0,11,,,0.0,3,,,0.0,2,,,0.0,2,,,6.0,0,,,0.0,1,,,0.0,3,,,5.15,0,,,0.0,1,,,0.0,0,,,0.0,12,,,1.75,12,,,1.75,0,,,0.0,7,,,1.75,0,,,4.25,0,,,7.25,0,,,60.51,24,,,-0.1,39829,,,4.15,25,,,1.25,0,,,6.5,15,,,0.75,15,,,0.75,15,,,0.75
19,2020-02-10,14,7466.700195,7446.899901999999,0.75,14,27.82,27.975,0.0,11,6008.47998,6015.669922,0.0,3,24437.0,24508.0,0.0,2,9790.599609,9816.0,0.0,2,3088.6298829999996,3062.409912,6.0,0,615.030029,617.099976,0.0,1,1848.959961,1858.0,0.0,3,41166.71875,40979.621094,5.15,0,3140.459961,3119.100098,0.0,1,4526.5,4517.509765999999,0.0,0,7152.25,7065.529785,0.0,12,28995.660156,29276.820313,1.75,12,3318.280029,3352.090088,1.75,0,742.400024,744.1099849999999,0.0,7,17646.599609,17740.599609,1.75,0,113771.0,112570.0,4.25,0,44390.359375,44290.53125,7.25,0,41213.890625,41052.949219,60.51,26,23631.789063,23685.980469,-0.1,42354,2860.499023,2890.488037,4.15,27,2185.6298829999996,2201.070068,1.25,0,5993.376953,5952.083008,6.5,15,6972.799805,6965.200195,0.75,15,7022.600098000001,7012.5,0.75,15,7121.399901999999,7108.0,0.75
