Austray 61
"k1","Matr2","SE","CILeft","CIRight"
"1",5,1.25550323899484,0.794049968988483,-0.30083470022259,2.81184117821226
"2",6,1.22807165252914,0.709027499171849,-0.161622245847682,2.61776555090597
"3",7,1.24916628067656,0.667707463057482,-0.0595403469161067,2.55787290826922
"4",8,1.27517790963838,0.637588954819188,0.0255035581927676,2.52485226108398
"5",9,1.30461734186672,0.615002512858349,0.0992124166643524,2.51002226706908
"6",10,1.33961105580624,0.599092276838602,0.165390193202577,2.5138319184099
"7",11,1.36522292195247,0.582133009890734,0.224242222566635,2.50620362133831
"8",12,1.38794042177653,0.566624304455963,0.277356785042846,2.49852405851022
"9",13,1.4073057117886,0.551990714307744,0.325403911745425,2.48920751183178
"10",14,1.41371855491817,0.534335388593013,0.366421193275866,2.46101591656048
"11",15,1.41372458513468,0.51621923025193,0.401934893840894,2.42551427642846
"12",16,1.41963864702233,0.501918057071991,0.435879255161223,2.40339803888343
"13",17,1.42896718717536,0.490131701631289,0.468309051978032,2.38962532237269
"14",18,1.43293332434647,0.477644441448823,0.496750219106775,2.36911642958616
"15",19,1.43822143870344,0.466620651374405,0.52364496200961,2.35279791539728
"16",20,1.44236428549205,0.456115635783622,0.548377639356146,2.33635093162794
"17",21,1.4442045042346,0.445691186067481,0.570649779542335,2.31775922892686
"18",22,1.44949181296674,0.437038225482061,0.592896891021897,2.30608673491157
"19",23,1.45158220662918,0.428048240130096,0.612607655974189,2.29055675728417
"20",24,1.43484895064233,0.4142052139499,0.623006731300523,2.24669116998413
"21",25,1.42103368733297,0.401929022643067,0.633252802952559,2.20881457171338
"22",26,1.41099744163697,0.391340278874661,0.643970495042632,2.1780243882313
"23",27,1.40518511849486,0.382442948273859,0.6555969398781,2.15477329711163
"24",28,1.4021290445147,0.37473474975848,0.66764893498808,2.13660915404132
"25",29,1.40107485679777,0.367940283231124,0.679911901664769,2.12223781193078
"26",30,1.37069161900883,0.353911054213818,0.677025952749744,2.06435728526791
"27",31,1.3469095439284,0.342115366273352,0.676363426032633,2.01745566182417
"28",32,1.32260664218859,0.330651660547147,0.674529387516179,1.97068389686099
"29",33,1.30262447434181,0.320683977465805,0.674083878508828,1.93116507017478
